"('AAPL', 'Open')","('AAPL', 'High')","('AAPL', 'Low')","('AAPL', 'Close')","('AAPL', 'Adj Close')","('AAPL', 'Volume')","('AAPL', 'Formatted Date')","('BYDDF', 'Open')","('BYDDF', 'High')","('BYDDF', 'Low')","('BYDDF', 'Close')","('BYDDF', 'Adj Close')","('BYDDF', 'Volume')","('BYDDF', 'Formatted Date')"
148.35000610351562,149.1199951171875,147.50999450683594,147.5399932861328,145.8526153564453,48597200,2021-08,33.2599983215332,33.2599983215332,32.65999984741211,32.65999984741211,32.48661804199219,88200,2021-08
147.47999572753906,148.75,146.8300018310547,148.60000610351562,146.90048217773438,55802400,2021-08,32.56999969482422,33.599998474121094,32.56999969482422,32.79999923706055,32.62587356567383,101200,2021-08
149.0,153.49000549316406,148.61000061035156,153.1199951171875,151.36878967285156,90956700,2021-08,33.099998474121094,33.70000076293945,32.900001525878906,33.599998474121094,33.421627044677734,83500,2021-08
152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,150.0935516357422,86453100,2021-08,33.25,33.65999984741211,33.25,33.59000015258789,33.41168212890625,44000,2021-08
152.8300018310547,154.97999572753906,152.33999633789062,152.50999450683594,150.76576232910156,80313700,2021-09,34.06999969482422,34.06999969482422,31.979999542236328,33.380001068115234,33.202796936035156,78000,2021-09
153.8699951171875,154.72000122070312,152.39999389648438,153.64999389648438,151.8927001953125,71115500,2021-09,33.9900016784668,33.9900016784668,33.310001373291016,33.599998474121094,33.421627044677734,56500,2021-09
153.75999450683594,154.6300048828125,153.08999633789062,154.3000030517578,152.53526306152344,57808700,2021-09,33.290000915527344,33.290000915527344,32.619998931884766,32.95000076293945,32.77507781982422,97200,2021-09
154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,154.89797973632812,82278300,2021-09,34.40999984741211,35.25,34.40999984741211,35.25,35.062870025634766,271800,2021-09
156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,153.3360137939453,74420200,2021-09,34.72999954223633,34.93000030517578,34.02000045776367,34.08000183105469,33.899085998535156,82900,2021-09
155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,152.3079071044922,57305700,2021-09,33.130001068115234,34.38999938964844,32.75,34.349998474121094,34.16764831542969,107800,2021-09
155.0,155.47999572753906,148.6999969482422,148.97000122070312,147.26626586914062,140893200,2021-09,33.33000183105469,33.84000015258789,33.06999969482422,33.150001525878906,32.97401809692383,90800,2021-09
150.6300048828125,151.4199981689453,148.75,149.5500030517578,147.83961486816406,102404300,2021-09,33.58000183105469,33.58000183105469,32.75,33.04999923706055,32.874549865722656,99800,2021-09
150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,146.42596435546875,109296300,2021-09,33.380001068115234,34.0,33.380001068115234,33.540000915527344,33.36194610595703,87800,2021-09
148.55999755859375,149.44000244140625,146.3699951171875,149.02999877929688,147.3255615234375,83281300,2021-09,33.2599983215332,33.86000061035156,33.0099983215332,33.349998474121094,33.17295837402344,59100,2021-09
148.44000244140625,148.97000122070312,147.22000122070312,148.7899932861328,147.0883026123047,68034100,2021-09,32.41999816894531,32.41999816894531,31.850000381469727,31.989999771118164,31.82017707824707,143100,2021-09
148.82000732421875,148.82000732421875,145.75999450683594,146.05999755859375,144.3895263671875,129868800,2021-09,32.52000045776367,32.970001220703125,32.470001220703125,32.77000045776367,32.596038818359375,90400,2021-09
143.8000030517578,144.83999633789062,141.27000427246094,142.94000244140625,141.30523681640625,123478900,2021-09,30.420000076293945,30.8799991607666,30.0,30.389999389648438,30.228670120239258,336600,2021-09
143.92999267578125,144.60000610351562,142.77999877929688,143.42999267578125,141.7895965576172,75834000,2021-09,30.950000762939453,31.399999618530273,30.940000534057617,31.350000381469727,31.183574676513672,121400,2021-09
144.4499969482422,146.42999267578125,143.6999969482422,145.85000610351562,144.1819305419922,76404300,2021-09,31.649999618530273,32.380001068115234,31.5,32.0,31.830123901367188,67900,2021-09
146.64999389648438,147.0800018310547,145.63999938964844,146.8300018310547,145.15072631835938,64838200,2021-09,30.90999984741211,31.40999984741211,30.8700008392334,31.059999465942383,30.895112991333008,106800,2021-09
145.66000366210938,147.47000122070312,145.55999755859375,146.9199981689453,145.2397003173828,53477900,2021-09,30.059999465942383,31.0,30.059999465942383,30.719999313354492,30.556917190551758,68300,2021-09
145.47000122070312,145.9600067138672,143.82000732421875,145.3699951171875,143.70741271972656,74150700,2021-09,30.729999542236328,31.350000381469727,30.729999542236328,31.25,31.084104537963867,52400,2021-09
143.25,144.75,141.69000244140625,141.91000366210938,140.2869873046875,108972300,2021-09,30.90999984741211,31.09000015258789,30.5,30.799999237060547,30.636491775512695,96400,2021-09
142.47000122070312,144.4499969482422,142.02999877929688,142.8300018310547,141.1964874267578,74602000,2021-09,30.84000015258789,30.84000015258789,30.110000610351562,30.270000457763672,30.10930633544922,65100,2021-09
